author,degree
Yu Qiao 0001,412
Dahua Lin,247
Wanli Ouyang,225
Ziwei Liu 0002,222
Caiming Xiong,219
Ming-Hsuan Yang 0001,202
Ping Luo 0002,193
Tianlong Chen 0001,188
Bernard Ghanem,184
Jingdong Wang 0001,182
Ranjay Krishna,182
Jiajun Wu 0001,181
Tat-Seng Chua,181
Hongsheng Li 0001,177
Philip S. Yu,174
Zhangyang Wang,170
Junchi Yan,170
Huaxiu Yao,170
Niklas Muennighoff,166
Hengshuang Zhao,166
Pin-Yu Chen,165
Stefano Ermon,163
Shanghang Zhang,163
Xiu Li 0001,161
Xiaodan Liang,159
Tiejun Huang 0001,155
Renrui Zhang,153
Ying Shan,153
James M. Rehg,153
Dacheng Tao,149
Zhou Zhao 0001,149
Jitendra Malik,149
Yang Li,149
Eric P. Xing,149
Philip Torr 0001,148
Thamar Solorio,148
Shirui Pan,148
Richard A. Newcombe,148
Trevor Darrell,147
Miao Liu 0007,146
Furong Huang,144
Kris Kitani,144
Hanwang Zhang,144
Hui Xiong 0001,144
Peng Gao 0007,143
Yuchen Wang,143
Lichao Sun 0001,142
Jindong Wang 0001,142
Henok Biadglign Ademtew,142
Kun Kuang 0001,142
Bo Li 0026,141
Jianye Hao,141
Yang Zhang,141
James Zou 0001,140
Jian Yang 0003,140
Jiawei Han 0001,140
Thao Nguyen,139
Fahad Shahbaz Khan,139
Mike Zheng Shou,138
Rongrong Ji,138
Gordon Wetzstein,137
Dima Damen,136
Percy Liang,135
Yuan Li,135
Quanquan Gu,133
Yang Liu 0003,132
Qifeng Chen 0001,132
Tianyi Zhou 0001,132
Jia-Wei Liu,131
Heng Ji 0001,131
Jianfeng Gao 0001,131
Meng Wang 0001,128
Chuang Gan 0001,127
Luca Soldaini,127
Jieping Ye,126
Wenqi Shao,126
Yuxuan Liang 0002,126
Jiliang Tang,125
Jie Tang 0001,125
Chen Zhao 0002,124
Li Yuan 0007,124
Leonidas J. Guibas,124
Qingsong Wen,124
Xihui Liu,124
Joya Chen,123
Yue Huang 0001,123
Sergey Levine,123
Yujun Shen,122
Tongliang Liu,122
Kyle Lo,122
Jun Zhou 0011,122
Xiangyang Ji,121
Dirk Groeneveld,121
Enhong Chen,121
Liqiang Nie,121
Marc Pollefeys,121
Xing Xie 0001,120
Min Zhang 0005,120
Alan L. Yuille,120
Yulun Zhang 0001,119