degree,count_of_authors
1,1738
2,4632
3,6973
4,7896
5,7829
6,6627
7,5486
8,4228
9,3217
10,2561
11,2427
12,1865
13,1607
14,1246
15,1199
16,977
17,846
18,690
19,653
20,620
21,610
22,537
23,409
24,393
25,377
26,300
27,283
28,269
29,288
30,230
31,219
32,172
33,201
34,182
35,151
36,123
37,150
38,126
39,133
40,93
41,115
42,96
43,96
44,85
45,112
46,57
47,60
48,74
49,86
50,56
51,37
52,61
53,49
54,44
55,32
56,41
57,33
58,41
59,39
60,28
61,25
62,23
63,25
64,26
65,26
66,23
67,25
68,60
69,66
70,26
71,15
72,25
73,27
74,17
75,83
76,19
77,14
78,9
79,12
80,7
81,12
82,14
83,12
84,9
85,9
86,4
87,8
88,18
89,5
90,7
91,8
92,5
93,4
94,8
95,4
96,7
97,6
98,7
99,44
100,7
101,6
102,10
103,9
104,6
105,9
106,10
107,9
108,8
109,11
110,3
111,5
112,2
113,5
114,8
115,3
116,2
117,4
118,4
119,2
120,3
121,5
122,4
123,3
124,5
125,2
126,3
127,2
128,1
131,3
132,3
133,1
135,2
136,1
137,1
138,2
139,2
140,3
141,3
142,4
143,2
144,4
146,1
147,1
148,4
149,5
153,3
155,1
159,1
161,1
163,2
165,1
166,2
170,3
174,1
177,1
181,2
182,2
184,1
188,1
193,1
202,1
219,1
222,1
225,1
247,1
412,1